Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53684738,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,GE HEALTHCARE LTD,53685052,27187.02
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53685086,27914.88
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,53685129,26417.04
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,53689216,522226.47
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Equip Maint Contracts,RADIOTHERAPY,SUPPLY CHAIN COORDINATION LIMITED,53689946,49727
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Limbs,Limbs,HUGH STEEPER LTD,53690878,128917.43
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53695583,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,BAYER PLC,53695624,97176.56
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,AAH PHARMACEUTICALS LTD,53695628,49579.68
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,Recovery Costs,TIC MOBILE LTD,53697384,33600
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,53701335,-29633.35
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Contr Estate Management,Energy and Utilities QAH,OVE ARUP & PARTNERS,53701339,50000
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,Recovery Costs,TIC MOBILE LTD,53701744,37200
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Software/License,Workforce Transformation,SOFTCAT PLC,53701755,521349
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,AMGEN LTD,53702669,30000.48
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,INTER PROVIDER CONTRACTS,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53714470,233544.69
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,Blood Sciences,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53714492,7653.75
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,Neurology,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53714492,75390
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,ONCOLOGY MEDICAL STAFF,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53714492,1824
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,Orthopaedic Central,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53714492,35234.31
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,PAEDS OPD & SPECIALISTS,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53714492,5523.93
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,Renal Non Pay,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53714492,38139.42
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,UPPER GI MEDICAL STAFF,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53714492,7356.15
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,VASCULAR STAFF,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53714492,87018.96
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Miscellaneous Expenditure,TRUST CENTRAL EXPENSES,ISLE OF WIGHT NHS TRUST,53714529,-30397.34
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,53714586,61616.31
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Contr Other External,TRUST CENTRAL EXPENSES,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,53714600,28401
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53715639,67070.35
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53715655,429158.84
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Payroll Ded'ns N/S Curr,Balance Sheet,SALARY FINANCE LIMITED,53715825,38708.2
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Capital Non Pay Costs,Balance Sheet,AIRE LOGIC LTD,53717693,33000
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Laboratory External Tests,Transplant Non Pay,NHS BLOOD & TRANSPLANT,53719984,79907.39
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,FMC - Chandlers Ford Dialysis,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,53719995,58821.98
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,FMC - Chandlers Ford Dialysis,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,53719996,73829.98
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,53722857,32216.5
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,53723093,71580.6
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,CSL BEHRING UK LTD,53723100,44027.21
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ALLOGA UK LTD,53723114,48320.7
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,External Data Contracts,SBS,NHS SHARED BUSINESS SERVICES,ES-25354,34373.28
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,External Data Contracts,SBS,NHS SHARED BUSINESS SERVICES,F&A-25354,51485.76
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Blood Products,Blood Transfusion Service,Blood Transfusion Service,NHSBT-S014-FEB,238049.45
