Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Miscellaneous Expenditure,TRUST CENTRAL EXPENSES,ISLE OF WIGHT NHS TRUST,53953353,-31331
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Audit Fees: Statutory,TRUST CENTRAL EXPENSES,ERNST & YOUNG LLP,53955648,162576
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Equip Maint Contracts,PHT Main X-Ray,SUPPLY CHAIN COORDINATION LIMITED,53957833,31344.85
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Equip Maint Contracts,PHT Main X-Ray,SUPPLY CHAIN COORDINATION LIMITED,53958190,41357.19
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,LAERDAL MEDICAL LTD,53958198,101120.52
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,53958344,83733.46
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,Railway Triangle,CUSHMAN & WAKEFIELD,53961478,36569.02
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Service Charge,Railway Triangle,CUSHMAN & WAKEFIELD,53961478,4492.15
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,Other Peripheral Sites,SUSSEX COMMUNITY NHS FOUNDATION TRUST,53965243,199628
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Miscellaneous Expenditure,TRUST CENTRAL EXPENSES,HUNTER HEALTHCARE RESOURCING LTD,53965255,30503.1
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Independent Sector,Endoscopy,XYLA ELECTIVE CARE,53965284,91480
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Miscellaneous Expenditure,TRUST CENTRAL EXPENSES,HUNTER HEALTHCARE RESOURCING LTD,53965414,-30503.1
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,53965570,650123.96
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Equip General,Community Midwifery,SUPPLY CHAIN COORDINATION LIMITED,53968312,48364.12
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Software/License,IT Technical Services,VOHKUS LTD,53968324,35353.2
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Laboratory Radio-Isotopes,Nuclear Medicine PHT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53976791,33473.34
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Independent Sector,Endoscopy,PRACTICE PLUS GROUP HOSPITALS LTD,53977033,30191.55
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,CANON MEDICAL SYSTEMS LTD,53980038,78000
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,53980064,78400
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,53980082,76266.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,MONTCALM INTERNATIONAL LTD,53980099,104400
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,Radiology Medical Staff,TELEMEDICINE CLINIC LTD,53983881,147211.07
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Independent Sector,TLHC,INHEALTH LTD,53983882,152864
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Independent Sector,TLHC,INHEALTH LTD,53983883,91080
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,Other Peripheral Sites,SUSSEX COMMUNITY NHS FOUNDATION TRUST,53983894,-199627.99
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,Other Peripheral Sites,SUSSEX COMMUNITY NHS FOUNDATION TRUST,53983902,104991.4
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,Other Peripheral Sites,SUSSEX COMMUNITY NHS FOUNDATION TRUST,53983905,124767.5
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,Other Peripheral Sites,SUSSEX COMMUNITY NHS FOUNDATION TRUST,53983910,74860.5
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,VAT Cont Out Serv Inp Tax,Balance Sheet,INHEALTH LTD,53983914,207920.6
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,Other Peripheral Sites,SUSSEX COMMUNITY NHS FOUNDATION TRUST,53983919,-104991.4
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,FP10S,FP10S TO RECHARGE,NHS BUSINESS SERVICES AUTHORITY,53983960,39710.68
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53984055,125973.71
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rates,MITCHELL WAY PREMISES,PORTSMOUTH CITY COUNCIL,53984273,99345
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rates,Railway Triangle,PORTSMOUTH CITY COUNCIL,53984275,49395
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Payroll Ded'ns N/S Curr,Balance Sheet,SALARY FINANCE LIMITED,53984279,39669.47
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Equip General,Sleep Service,RESMED (UK) LTD,53984313,30757.2
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Stents,Cardiac Cath Lab,ABBOTT MEDICAL UK LTD,53984334,39600
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,SYSMEX UK LTD,53987286,34886.52
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,CLEANROOM AND CONTAINMENT FACILITIES LTD,53987463,324918
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Maintenance,IT Technical Services,CLINISYS SOLUTIONS LTD,53988767,183768.46
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,External Consultancy Fees,IT Technical Services,AMICUS ITS LTD,53989034,104684.21
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53994181,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53994200,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53994221,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,53994413,46800.06
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,53994588,34250.74
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,AMICUS ITS LTD,53997318,70000
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Maintenance,PACs/CRIS Consortium,SECTRA LTD,53997402,146532
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,NHS Fareham Dialysis,PORTAKABIN LTD,53997430,58299.64
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,STRYKER UK LTD,53997510,36259.2
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Software/License,IT Technical Services,TRUSTMARQUE SOLUTIONS LTD,53999894,58349.83
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,External Consultancy Fees,TRUST CENTRAL EXPENSES,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,53999920,779516
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Equip General,Sleep Service,RESMED (UK) LTD,53999981,27441
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Maintenance,PACs/CRIS Consortium,SECTRA LTD,54000054,37454.4
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Maintenance,PACs/CRIS Consortium,SECTRA LTD,54000077,26913.6
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,DIA - Havant Dialysis,DIAVERUM UK LTD,54000727,68277.3
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,DIA - Salisbury Dialysis,DIAVERUM FACILITIES MANAGEMENT,54000731,42984.76
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,DIA - Salisbury Dialysis,DIAVERUM UK LTD,54000735,25314.64
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Prescription Charges Rev,Outpatient Pharmacy,ROWLANDS PHARMACY,54000883,322232.28
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Prescription Charges Rev,Outpatient Pharmacy,ROWLANDS PHARMACY,54000902,1000000
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,FP10S,FP10S TO RECHARGE,NHS BUSINESS SERVICES AUTHORITY,54000911,41629.9
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,54001014,441076.01
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Other Operatg Rev Non NHS,Outpatient Pharmacy,LP HCS LTD,54001064,-2780.41
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Pharm Sales Rev Non NHS,RDPC,LP HCS LTD,54001064,-74533.44
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Sale of Good & Srv NonNHS,Acute Pharmacy,LP HCS LTD,54001064,-58500.33
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,SECTRA LTD,54002248,245772
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Other Patients Welfare,CF Eye Dept Fund,HEIDELBERG ENGINEERING LTD,54002509,86000
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,PHILIPS ELECTRONICS UK LTD,54009988,200685.06
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54014334,27009.6
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54014336,27009.6
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54014345,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,54014349,205075.2
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54014361,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54014364,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54014367,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,BAYER PLC,54014594,29426.45
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,VASCULAR STAFF,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,54015552,103552.57
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Orthopaedic Central,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,54015554,31482.79
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Renal Non Pay,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,54015556,44533.54
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SrvcsRecd-FoundationTrust,Neurology,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,54015562,82701.6
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,Histopathology,SOURCE BIOSCIENCE UK LTD,54015582,29225
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,Histopathology,SOURCE BIOSCIENCE UK LTD,54015584,25006.6
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,COMMUNITY HOSPITALS - FCH,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,54015591,338244
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54016320,28125.32
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,54019685,25259.89
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,54019905,39691.39
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,54020052,31505.76
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,SYS Inventory,Balance Sheet,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,54020237,47504.14
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,HSBC PURCHASING VISA,4720000000000000,31907.79
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Trade Local Debtors Adj,Balance Sheet,Government Banking Services,RHUTR,95297.56
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Blood Products,Blood Transfusion Service,Blood Transfusion Service,NHSBT-S014-MAR,238049.45
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Dividend Payment,DEPRECIATION-BUILDINGS,Department of Health,RHU PDCDIVMAR25 RH,2595000
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Postage & Carriage,QAH Patient Communications,QUADIENT,906555,84528.11
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,External Data Contracts,SBS,NHS SHARED BUSINESS SERVICES,ES-25354,34373.28
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,External Data Contracts,SBS,NHS SHARED BUSINESS SERVICES,F&A-25354,51485.76
