Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,HAMELN PHARMA LTD,54236368,60000
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,CSL BEHRING UK LTD,54237916,94206.08
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,54238418,26400
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALEXION PHARMA UK LTD,54238500,37800
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,54248068,391937.74
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Payroll Ded'ns N/S Curr,Balance Sheet,SALARY FINANCE LIMITED,54258161,39035.51
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,54259689,498888.32
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54266865,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54266866,27403.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54266867,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54266868,27403.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54266869,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54266870,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,54266890,31624.32
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,54266912,100572.38
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Software/License,Renal Non Pay,RENAL ASSOCIATION,54273579,79705
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,DIA - Havant Dialysis,DIAVERUM UK LTD,54273581,78181.26
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,DIA - Salisbury Dialysis,DIAVERUM UK LTD,54273582,28308.28
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,DIA - Salisbury Dialysis,DIAVERUM FACILITIES MANAGEMENT,54273583,48068.02
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory External Tests,Transplant Non Pay,NHS BLOOD & TRANSPLANT,54273584,64796.55
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Med & Surg Equip General,Sleep Service,RESMED (UK) LTD,54275815,25200
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,54276636,50410.32
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,54276644,34667.84
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,54276646,109464.14
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALLOGA UK LTD,54276694,26469.6
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,54276765,32350.6
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALLOGA UK LTD,54276792,29580.05
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,External Data Contracts,SBS,NHS SHARED BUSINESS SERVICES,ES-25354,34373.28
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,External Data Contracts,SBS,NHS SHARED BUSINESS SERVICES,F&A-25354,51485.76
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Blood Products,Blood Transfusion Service,Blood Transfusion Service,NHSBT-S014-APR,238049.45
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,CNST contributions,TRUST CENTRAL EXPENSES,NHS RESOLUTION,NHSLACONT-T029,2464196
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Trade Local Debtors Adj,Balance Sheet,Government Banking Services,RHUTR,32239.31
